2012-01-20 14:20:33,974	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user david	
2012-01-20 14:22:59,927	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=220so1hqbvcbi31xsd81h9bs
2012-01-20 14:23:00,926	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1fqw4gal26q2wt3j8forv99h
2012-01-20 14:23:01,927	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=7c1voxulyifg1qexjctlk8d8l
2012-01-20 14:23:02,925	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=h1ta1wgo1y7e1gmdcj38b4ay8
2012-01-20 14:23:03,940	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1clnmxw0o94591slgn1mczzwrx
2012-01-20 14:23:04,934	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1iujpd5s0zs6epphl4dd2xrtm
2012-01-20 14:23:05,952	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=101zroaghor0w1fnouu0p6vpj5
2012-01-20 14:23:06,951	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=vnov8zlgcop2czv9fhnem8mv
2012-01-20 14:23:07,947	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=r2f10ks9poc9uxrf0ieo37tk
2012-01-20 14:23:08,958	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1gxhq551rxc9kmqvnmjod0ur4
2012-01-20 14:23:09,936	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=qoay48mq3wsy1f5ywkivjrmwz
2012-01-20 14:23:10,931	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=u0d2ve3vdz5q14v8pca6xe0a5
2012-01-20 14:23:11,967	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=lzrsv0ydv22youi8gjnzkkvz
2012-01-20 14:23:12,963	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=cnfqhw4ydbkwf66llr1ffnz4
2012-01-20 14:23:13,940	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=ncbip4gthpkt1slvc3x4z2s23
2012-01-20 14:23:14,950	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=16ky2638m0nlz1pg6t974aowff
2012-01-20 14:23:15,946	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=92gy1bprynm310rlimvrxwilm
2012-01-20 14:23:16,945	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=81egzq9idh55r0bczigbzros
2012-01-20 14:23:17,969	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1blqqw3b1yziv1iqtd5oil5ugq
2012-01-20 14:23:18,949	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=b6b5p4j8jfbo19xiibgqd2l03
2012-01-20 14:23:19,946	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=9ejslk7dctnlc2y3quqhisoz
2012-01-20 14:23:20,945	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1eo5xkehoza2c14xh0hk5e39n2
2012-01-20 14:23:21,953	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=vgaj8sxjzlua8uo0xbu8t0tx
2012-01-20 14:23:22,955	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1jvkb99i8x1cq1w0b62im1h5c8
2012-01-20 14:23:23,966	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=13rssvuyjns401156my6mzv8wh
2012-01-20 14:23:24,950	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1o4z7ej0fanwe1of9bwy36divk
2012-01-20 14:23:25,945	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1p94doaka83g814xwwz1at6eo1
2012-01-20 14:23:26,950	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=m2l046mkez5frxkvk4htv7ix
2012-01-20 14:23:27,966	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=122qon33873p11hfjfw11g9utv
2012-01-20 14:23:28,967	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=lq901cqq7h1e16tqxwdz99b3n
2012-01-20 14:23:29,964	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=2q1e6wxc7loj1nac5lxngvre3
2012-01-20 14:23:30,950	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=dpwop6lhoyx91hzk0b7it3itg
2012-01-20 14:23:31,956	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=y03alb3trz41177r6267v13xh
2012-01-20 14:23:32,951	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=qe1fyc8i5nyq3aeivantgcso
2012-01-20 14:23:33,956	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=oodb0loc3t2vvampaom54dlu
2012-01-20 14:23:34,966	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=fqcr73cwx9zf1o11czaz36dhc
2012-01-20 14:23:35,956	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1505u376200qkm03u7dmri5b0
2012-01-20 14:23:36,949	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1rj0x5e8hspo31dw9e0vk14t8h
2012-01-20 14:23:37,951	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=5x96yx4m8rii318kjbb48d2k
2012-01-20 14:23:38,965	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=zhrhcjn82tid1fhixne1jiqu2
2012-01-20 14:23:39,971	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=aqh4yqfs3u4j1q787brdxfkk5
2012-01-20 14:23:40,960	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=hleuf5yxmjxu1lr5tdakr3ksh
2012-01-20 14:23:41,970	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1cn0mrwm6sb2z1d07u74551xs8
2012-01-20 14:23:42,959	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=zowjlxkm7rmy1uzr8ug1sketa
2012-01-20 14:23:43,977	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=gw0nm954we1yi212piyuqoe4
2012-01-20 14:23:44,965	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=pge5py9fraxq10nbu3ys9ys55
2012-01-20 14:23:45,970	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=2s7hz1cqoaj0mbkf83xlgagu
2012-01-20 14:23:46,973	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1ww2qhc901ezj19zvyy7c5rea9
2012-01-20 14:23:47,972	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=osyb6emut73fktgc5ti4zcnt
2012-01-20 14:23:48,966	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1td8abarb33xm1qgmy20dsv4zk
2012-01-20 14:23:49,976	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=43jq4xxhams73pma277irg4z
2012-01-20 14:23:50,959	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1qomxcpiuavj61as63jizsvnb8
2012-01-20 14:23:51,963	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=43yqqtoydv4b1n1ll12ka1stf
2012-01-20 14:23:52,961	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1lyrmxkkskzge11hz1iaptwccb
2012-01-20 14:23:53,963	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1guntqnxk17c21stv0yncc0b1
2012-01-20 14:23:54,965	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1638yky0syh6f1fkyvf7ej3l16
2012-01-20 14:23:55,962	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1dshrgyushax5g90q4bezk8qz
2012-01-20 14:23:56,966	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=xy5tlqq98isf76qxgv4y50h
2012-01-20 14:23:57,966	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1mtthlwtubi591pb2n9diubbjg
2012-01-20 14:23:58,970	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=18mrfnajv04vu1w5sdbwyi4ih3
2012-01-20 14:23:59,978	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1u0m9v08pyyg3qbdru6smu5e3
2012-01-20 14:24:00,990	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1hymhd27grdsp48zay4222xpr
2012-01-20 14:24:01,967	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=i8cg1zci0wxu1rgrf3qbc85yo
2012-01-20 14:24:02,968	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=ngxzfdqtmpcr12c1s39p5g9if
2012-01-20 14:24:04,011	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=118zzcpew10ix1ctu0vj3vv0ri
2012-01-20 14:24:04,976	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=4sksbn93pnwj1mmbpemeroe42
2012-01-20 14:24:05,977	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1ilm3tt3fgxdm1bu9dm5039pf0
2012-01-20 14:24:06,987	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=tpfe7iwhli701oh5k2ooendy2
2012-01-20 14:24:07,972	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1d8lh6nk5lry61d9969kpzfv0a
2012-01-20 14:24:08,982	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=19q6qc3lnc1ja1wr6t70dlm7ci
2012-01-20 14:24:09,987	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=11aaqdo8h307r1oly22ejs6acj
2012-01-20 14:24:10,998	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=w48gfdxb6ssv1jmcj6l84tber
2012-01-20 14:24:11,987	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1ugy4b0huq1ne1sx6jttaettjr
2012-01-20 14:24:12,986	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=dmf46y13290f1dcrjcsep0wrg
2012-01-20 14:24:13,997	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1a7cj4w77zxfi9u67d7wcozlt
2012-01-20 14:24:15,070	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1tm9ai0bj809xw18y2676ghr0
2012-01-20 14:24:16,010	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=e75yya774bsqg0vi62s0jufg
2012-01-20 14:24:16,985	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=5ww9wcjiqp6p1oc4mh513uyj5
2012-01-20 14:24:17,987	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=wnzbp01dtp515vd5rl5lpqff
2012-01-20 14:24:19,412	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1kcer329qit1g1vvikl2upydtv
2012-01-20 14:24:19,990	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=23vyb8bnrhjx1ituau7aw78ws
2012-01-20 14:24:20,985	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=11cw0xlmqbaro1t3dps79ytjja
2012-01-20 14:24:21,982	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1j21it2s4bfog13y7wd260zqsb
2012-01-20 14:24:22,985	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=9cr4ol8m2jj21a1cb5qx2v5da
2012-01-20 14:24:23,995	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1sw90n283d5z41dfeypb9oozur
2012-01-20 14:24:24,995	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=qpq5lhb9jcjiz5ch10ccke0i
2012-01-20 14:24:25,995	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1nwtab07bowp9q8jxman47hm
2012-01-20 14:24:26,986	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=17ktua89sn80y1kkh45xdutfa4
2012-01-20 14:24:27,987	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=rc9wtt6o0wcs1kocqd1xm9b8k
2012-01-20 14:24:28,985	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=gjksomolpyc11wyxyf03g47yg
2012-01-20 14:24:29,996	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=bvyev242z70919s76kgmq4gi5
2012-01-20 14:24:30,989	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=zjvyug39lhf6cfs04wlskf7w
2012-01-20 14:24:32,031	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1pptm3hneumjr1ty15dezcwt7o
2012-01-20 14:24:32,995	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=18e62fga4phts1318gkd5jo9zs
2012-01-20 14:24:33,990	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=en01f00jcodmzps69khmgbp
2012-01-20 14:24:35,001	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=ev7z4opaq1m4sgxowd3tjvyc
2012-01-20 14:24:36,031	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=10zep8hjnrj1885emusd4okkr
2012-01-20 14:24:37,135	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=1tes05l2dv20abddb7c0ot06d
2012-01-20 14:24:38,001	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.1.100;session=dncip9rkzsb51eheg3ywfz4lg
2012-01-20 14:28:30,743	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=zqr49xb2kqzf9mcbcxre140i
2012-01-20 14:28:31,139	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=xa8t9dlmzqlc1d6fwustmpwas
2012-01-20 14:28:32,019	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1g4wp4un7lkgb1se0ts8banbvz
2012-01-20 14:28:32,118	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1ftrgscxba87s5hcptnxmjv8d
2012-01-20 14:28:32,229	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=tcoy8lze7p5l11vnszdk3ocpr
2012-01-20 14:28:32,383	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=15iolnc0w6l4wrtwkr6xd3636
2012-01-20 14:28:32,438	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=rab6cr4tuh3z1332fhmxns6hb
2012-01-20 14:28:32,497	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1g0217tkf1tdp1r8god72hc2j8
2012-01-20 14:28:32,518	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=at1h63pe9wed1hxy4r0k4v2rz
2012-01-20 14:28:33,196	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1mri2w06vaqns1q6wqfhu9z66x
2012-01-20 14:28:33,234	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.1.100;session=15iolnc0w6l4wrtwkr6xd3636
2012-01-20 14:28:33,234	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.1.100;session=15iolnc0w6l4wrtwkr6xd3636
2012-01-20 14:28:33,416	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1l7hg5w1hlkt1ar0z7cktrkf
2012-01-20 14:28:33,500	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=10ni7080k62hphwxn0mc8uzew
2012-01-20 14:28:33,534	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1dhgdma13f8vv1fyu3ai703zsc
2012-01-20 14:28:33,581	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=stazyoxv7hvj8urzt8gdqwwg
2012-01-20 14:28:33,652	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=1u30gz0hf8zblqqgeje3k67my
2012-01-20 14:28:34,068	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.1.100;session=wy1alepq0ugs16x4z4tnfm8xg
