Segment For Redo Cut Task,Segment For Redo Cut Task
Segment For Undo Add Task,Segment For Undo Add Task
Segment For Redo Intermediate,Segment For Redo Intermediate
Segment For Redo Duplicate Task,Segment For Redo Duplicate Task
Segment For Redo Paste Task Using Copy,Segment For Redo Paste Task Using Copy
Segment For Redo Intermediate,Segment For Redo Intermediate
Segment For Redo Move Task,Segment For Redo Move Task
Segment For Redo Disintermediate,Segment For Redo Disintermediate
doing something,doing something
Disintermediate,Disintermediate
Segment For Redo Set Task From Copy,Segment For Redo Set Task From Copy
Segment For Redo Paste Attachment,Segment For Redo Paste Attachment
Reference,Reference
CAP,CAP
Segment For Redo Attach Document,Segment For Redo Attach Document
Segment For Redo break up flow,Segment For Redo break up flow
Redo Break Up Flow,Redo Break Up Flow
Segment For Redo Remove Flow,Segment For Redo Remove Flow
Segment For Redo duplicate Flow,Segment For Redo duplicate Flow
Duplicate this flow Info,Duplicate this flow Info
Redo Duplicate Flow,Redo Duplicate Flow
Add Receive Info,Add Receive Info
Redo Remove Flow,Redo Remove Flow
Segment For Redo Add Info Capablity,Segment For Redo Add Info Capablity
Segment For Redo Add Info Need,Segment For Redo Add Info Need
Title,Title
Role,Role
Jurisdiction,Jurisdiction
Supervisor,Supervisor
Agent 1,Agent 1
Segment For Add Phase Details,Segment For Add Phase Details
After,After
Low,Low
High,High
Segment For Remove Goal,Segment For Remove Goal
Mitigate,Mitigate
Financial,Financial
Minor,Minor
Actual,Actual
Segment for Receive info,Segment for Receive info
Receives informations,Receives informations
Segment To Verify,Segment To Verify
Segment For Move Task,Segment For Move Task
Event,Event
Places,Places
Places Updated,Places Updated
Segment For Add Event To Plan,Segment For Add Event To Plan
Segment For Add Phase,Segment For Add Phase
Afour Tech1234,Afour Tech1234
Segment For Redo Add Task,Segment For Redo Add Task
View Plan,View Plan
Productize plan, Productize plan
New Plan v.1 (prod),New Plan v.1 (prod)
New Plan v.2 (dev),New Plan v.2 (dev)
View Plan v.1 (dev),View Plan v.1 (dev)
Segment For Do Undo Redo Add Segment,Segment For Do Undo Redo Add Segment
Segment For Do Undo Redo Remove This Segment,Segment For Do Undo Redo Remove This Segment
Segment For Do Undo Redo Add Goal,Segment For Do Undo Redo Add Goal
Segment For Do Undo Redo Add Task,Segment For Do Undo Redo Add Task
Segment For Do Undo Redo Cut Task,Segment For Do Undo Redo Cut Task
Segment For Do Undo Redo Cut Paste Task,Segment For Do Undo Redo Cut Paste Task
Segment For Do Undo Redo Copy Paste Task,Segment For Do Undo Redo Copy Paste Task
Segment For Do Undo Redo Duplicate Task,Segment For Do Undo Redo Duplicate Task
Segment For Do Undo Redo Intermediate Task,Segment For Do Undo Redo Intermediate Task
Segment For Do Undo Redo Disintermediate Task,Segment For Do Undo Redo Disintermediate Task
Segment For Do Undo Redo Move Task,Segment For Do Undo Redo Move Task
user,abcdef
Segment For Do Undo Redo Connect Flow,Segment For Do Undo Redo Connect Flow
Segment For Do Undo Redo Add New Issue,Segment For Do Undo Redo Add New Issue
Segment For Do Undo Redo Remove Issue,Segment For Do Undo Redo Remove Issue
Segment For Do Undo Redo Attach Document,Segment For Do Undo Redo Attach Document
Segment For Do Undo Redo Paste Attachment,Segment For Do Undo Redo Paste Attachment
Segment For Do Undo Redo Set Task From Copy,Segment For Do Undo Redo Set Task From Copy
Segment For Do Undo Redo Add Info Need,Segment For Do Undo Redo Add Info Need
Segment For Do Undo Redo Add Info Capability,Segment For Do Undo Redo Add Info Capability
Segment For Do Undo Redo Remove Flow,Segment For Do Undo Redo Remove Flow
Segment For Do Undo Redo Duplicate Flow,Segment For Do Undo Redo Duplicate Flow
Segment For Do Undo Redo Break Up Flow,Segment For Do Undo Redo Break Up Flow
Segment For Do Copy Flow,Segment For Do Copy Flow
Segment For Do Copy Task,Segment For Do Copy Task
Segment For Do Copy Attachment,Segment For Do Copy Attachment
Segment For Do Cut Attachment,Segment For Do Cut Attachment
AFourTechnology,AFourTechnology
SendPlannerFeedback,jf@mind-alliance.com
Messages,Messages
Receives,Receives
Sends,Sends
Sender,Sender
Event Description,Event Description
Organization Description,Organization Description
Secrecy Classifications,Secrecy classifications
View Segment,View Segment
Agent 2,Agent 2
This is a Tag,This is a Tag
Category 1,Category 1
email,abc@user.com
URL,www.google.com
Segment For Add File To Event,Segment For Add File To Event
This is an event,This is an event
Segment For Redo Add New Issue,Segment For Redo Add New Issue
IsWithin Info,IsWithin Info
Address,Address
Medium 1,Medium 1
Segment for delete file of Event,Segment for delete file of Event
Segment For Attach File To Agent,Segment For Attach File To Agent
Segment For Attach Picture Of Agent,Segment For Attach Picture Of Agent
Picture,Picture
Mind-Alliance_Logo.png,Mind-Alliance_Logo.png
Segment For Delete Picture Of Agent,Segment For Delete Picture Of Agent
Segment For Attach File as URL,Segment For Attach File as URL
Segment For Attach File For Invalid URL,Segment For Attach File For Invalid URL
Segment For Attach File To Locale,Segment For Attach File To Locale
Segment For Delete Locale Attachment,Segment For Delete Locale Attachment
