2012-01-13 15:51:00,550	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user david	
2012-01-13 15:57:38,106	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=w1kupsadyfk3kjypgnxjtkk8
2012-01-13 15:57:39,102	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1vbcu21zvgnsy1ut7d0agnci2c
2012-01-13 15:57:40,128	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=u9sd50feqytjzm7n7aa2g15x
2012-01-13 15:57:41,105	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=bl6qjs11njcbq6xt56t7u0be
2012-01-13 15:57:42,107	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1um1jjevp8hp5161k1ewa0bshv
2012-01-13 15:57:43,127	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1htqnkbi6c4d61n1kofuzbcfkl
2012-01-13 15:57:44,102	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1c363adudjkfv1ta2p0e5ytuku
2012-01-13 15:57:45,113	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1amwr10w3edd68gf4ow8v7m21
2012-01-13 15:57:46,100	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=3hgtthjmdduz1sw0t35zn55t9
2012-01-13 15:57:47,105	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1gk7xz7z02i7fgr1rn5jj1b5g
2012-01-13 15:57:48,096	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=uybure1r7vy4agqpbgclu0tj
2012-01-13 15:57:49,106	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1ui805a5767smqio32v0h3nk6
2012-01-13 15:57:50,176	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=r0z6q3phjlkwgmunerh5g5pr
2012-01-13 15:57:51,120	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fijjeybsuu721i8tmojrwkzth
2012-01-13 15:57:52,122	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=11ahwsh7fgbpr11u9ba99886h2
2012-01-13 15:57:53,105	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1vjejn3zw8uwy1ema0jcv6qcbw
2012-01-13 15:57:54,140	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1nuu4yyq857wu529wmuro8vhd
2012-01-13 15:57:55,115	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=16tjwq6rn2xj5ep46u3fdpwv1
2012-01-13 15:57:56,107	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=x2vqs9s9g8u9193pr31mznc8e
2012-01-13 15:57:57,109	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=zmela0kxbbgw1vsbzc9kmh1z1
2012-01-13 15:57:58,119	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=11tfzm8xqcgux1um61dfsjpq0q
2012-01-13 15:57:59,112	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1tepyr5aelpu81ou527rolz8lh
2012-01-13 15:58:00,130	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=qdjz83mxsaj11gscbjde8lr1f
2012-01-13 15:58:01,159	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=du64r79rcqs61m324ybywewjf
2012-01-13 15:58:02,111	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1amqjotuqk6ofb2odqzbk8rs3
2012-01-13 15:58:03,119	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1574toi0ww5fy1jotod353jas2
2012-01-13 15:58:04,117	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=13w2i7mvpshln7b5grs4fjwuy
2012-01-13 15:58:05,124	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=x0btxsixm7pl1mob1gv70uu5g
2012-01-13 15:58:06,115	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1sgx2w9v0yy15paa5bvtbxmxk
2012-01-13 15:58:07,104	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=tesa670vjkrjvsfjo2med7wj
2012-01-13 15:58:08,108	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=kgy2cx0fz59x1khhn9azm0qj0
2012-01-13 15:58:09,139	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=czr7958r8zmo1n5z2ykxr2v1i
2012-01-13 15:58:10,168	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1jfd3a1kdqx1powz8zksrns6u
2012-01-13 15:58:11,114	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1aubdejwfk6nn1gnm6cvcq902q
2012-01-13 15:58:12,135	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=191rzq1a69ydl1a875gg3r38a2
2012-01-13 15:58:13,120	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=102oyj0npwtkiermgnuaznqfu
2012-01-13 15:58:14,138	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=clryam5zbem71d3khw240z4sb
2012-01-13 15:58:15,116	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1fbtmz5yvrs2318np6q59hfq0b
2012-01-13 15:58:16,107	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=16nf0d5htup191xfsjojzme79a
2012-01-13 15:58:17,123	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=bs09bjvqzfi719cquxnkzpqve
2012-01-13 15:58:18,133	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=a0zy4hb6l4xuhhh0w1s5gp83
2012-01-13 15:58:19,150	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1xbm72iikm66mwawow4qpy55j
2012-01-13 15:58:20,152	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=cv1t7io02wgv1ara78q2sxkdf
2012-01-13 15:58:21,175	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=yvwpvd8erx6p1qu6niv3x1oy5
2012-01-13 15:58:22,134	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1q1tcz0rfr1f618adyewblaiam
2012-01-13 15:58:23,122	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=t3rjnzjeztasoyd00q8b7ii0
2012-01-13 15:58:24,137	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=wiy8vn922zoy1ayqihvnnwsyo
2012-01-13 15:58:25,114	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=yazylqagez5ftov0st4rf20x
2012-01-13 15:58:26,123	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1hmdbvrpm3citnzms4nd9po3
2012-01-13 15:58:27,117	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=157tppbdrrk4k1fci6k1h0a8tg
2012-01-13 15:58:28,123	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=hojqysc4hcl8bfxgn1u4nif3
2012-01-13 15:58:29,142	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=190iu2fa53m2y1o13u54zexxve
2012-01-13 15:58:30,131	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=vf67mdra8sjpxz4ntmb6557q
2012-01-13 15:58:31,122	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=qzkgo8c051dk1ifocr0iea085
2012-01-13 15:58:32,129	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1f3ppa8mjiofg4px4lrccrg7j
2012-01-13 15:58:33,119	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1x64hwd1l9bd0ocy12v8b00cg
2012-01-13 15:58:34,155	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=pspra8n2fyty13chldqfow8t7
2012-01-13 15:58:35,131	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=tpkulgkgllwlojegp0i8hq0w
2012-01-13 15:58:36,150	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=h03629euv48a12kv1a4byuxvv
2012-01-13 15:58:37,141	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=11vxdtbw570ufd49q3odnphsx
2012-01-13 15:58:38,139	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=148zxu8mkv56a14g8chco240vu
2012-01-13 15:58:39,152	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=9n43n798g0x01spjxb8nynzlw
2012-01-13 15:58:40,163	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=cqc0s5znm98i1emjfk43nwt7q
2012-01-13 15:58:41,130	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=tq0fjfijjoew74l26l3cnj0h
2012-01-13 15:58:42,145	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1xeokb1grw44vursbp58i3bu0
2012-01-13 15:58:43,138	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1nmo95uuz3c789afwsbu70e4p
2012-01-13 15:58:44,141	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fkcytq0v0o651xaehq0mn8zn4
2012-01-13 15:58:45,158	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=5swvkwunwuda1crscs240ol67
2012-01-13 15:58:46,149	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=15srygqy326701cmeib9uxmpxh
2012-01-13 15:58:47,129	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1bchtbhy4r8qy11f3zw1ozwk5v
2012-01-13 15:58:48,130	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fjq5hzep81r0dmq9asiq2243
2012-01-13 15:58:49,753	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=bqzq5a1cb3v5prf013kuntfc
2012-01-13 15:58:50,149	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=kz287kiscoslgeil1ixn879l
2012-01-13 15:58:51,134	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=181q71uxkj9f71a1har2x8m4b7
2012-01-13 15:58:52,186	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=pyei0gqvmyng10gle83a1dzl8
2012-01-13 15:58:53,134	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=mx4uuryc4xve1aqzocs4xnc1w
2012-01-13 15:58:54,138	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=jnfui3kooekh1mis9mjpgf57q
2012-01-13 15:58:55,169	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=cbirq5ad1naa1e84fuimao4m3
2012-01-13 15:58:56,153	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1aean9ciijk8110g59l0klhf7p
2012-01-13 15:58:57,140	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=iq5z2qjvq5wa171eu5p901vg7
2012-01-13 15:58:58,135	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=148bmc3mpp09t15ral3himr174
2012-01-13 15:58:59,173	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=t0hm1zvwn12u1hv477m820kmi
2012-01-13 16:03:08,391	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=hz39fq1j80jg7oiycmfjpxtw
2012-01-13 16:03:08,613	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=lf9t7pqu0fpeaf8xerd6o7af
2012-01-13 16:03:08,961	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=k44arlule4ly154zarerjzsm9
2012-01-13 16:03:09,004	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=3yfdxczbso01u926y6hpc30l
2012-01-13 16:03:09,426	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=gmot6167sr391ab5bt8lcbx80
2012-01-13 16:03:09,528	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=epsbutx1ajre1wlpcizdyfs5w
2012-01-13 16:03:09,538	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=skteaw2szfyimaodmhhzpln4
2012-01-13 16:03:09,588	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=yq5knz0zzbn969f67opewnoi
2012-01-13 16:03:09,807	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=skteaw2szfyimaodmhhzpln4
2012-01-13 16:03:09,807	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=lf9t7pqu0fpeaf8xerd6o7af
2012-01-13 16:03:09,808	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=lf9t7pqu0fpeaf8xerd6o7af
2012-01-13 16:03:09,807	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=k44arlule4ly154zarerjzsm9
2012-01-13 16:03:09,807	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=yq5knz0zzbn969f67opewnoi
2012-01-13 16:03:09,809	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=3yfdxczbso01u926y6hpc30l
2012-01-13 16:03:09,809	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=epsbutx1ajre1wlpcizdyfs5w
2012-01-13 16:03:09,807	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=hz39fq1j80jg7oiycmfjpxtw
2012-01-13 16:03:09,809	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=epsbutx1ajre1wlpcizdyfs5w
2012-01-13 16:03:09,809	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=3yfdxczbso01u926y6hpc30l
2012-01-13 16:03:09,809	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=skteaw2szfyimaodmhhzpln4
2012-01-13 16:03:09,808	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=yq5knz0zzbn969f67opewnoi
2012-01-13 16:03:09,808	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=k44arlule4ly154zarerjzsm9
2012-01-13 16:03:09,817	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=hz39fq1j80jg7oiycmfjpxtw
2012-01-13 16:03:09,933	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=8jpzg4m7rymv1c2z8c2xg8uei
2012-01-13 16:03:09,975	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=9n3uxnk8e2eg5h57wiobyzcu
2012-01-13 16:03:10,158	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=wsasepiwv5i5o56tui73wjcb
2012-01-13 16:03:10,188	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1qju06xma3j3alu76t2g7c3b9
2012-01-13 16:03:10,225	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=h4fm2gpg3ixf14muxvzco4ru3
2012-01-13 16:03:10,278	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1ch1yo9xfnhg18kwpmi4vxb6f
2012-01-13 16:03:10,294	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=3kbtwqgjmyirzdovwc9a6zep
