2012-03-02 09:52:43,622	WARN 	org.hibernate.search.store.impl.DirectoryProviderHelper	HSEARCH000041: Index directory not found, creating: '/home/parijat/workspace/channels/data/lucene'	
2012-03-02 10:36:51,953	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=uzqz0ytnspcu1l3gndsvr4rtw
2012-03-02 10:36:52,396	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1gtelsnfrg0h911nifl3dju5x8
2012-03-02 10:36:52,989	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1gtelsnfrg0h911nifl3dju5x8
2012-03-02 10:36:53,394	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=8677440ai6hj1dk6xavr7lk0i
2012-03-02 10:36:53,945	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=8677440ai6hj1dk6xavr7lk0i
2012-03-02 10:36:54,386	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=10ufzls655ntj1l9h1dr2iuivu
2012-03-02 10:36:54,991	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=10ufzls655ntj1l9h1dr2iuivu
2012-03-02 10:36:55,388	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=f43ahza3lkqbpxv8pyad6miu
2012-03-02 10:36:55,969	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=f43ahza3lkqbpxv8pyad6miu
2012-03-02 10:36:56,390	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1kp9pkhahcg694tvdgkr6afp1
2012-03-02 10:36:56,981	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1kp9pkhahcg694tvdgkr6afp1
2012-03-02 10:36:57,390	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=149p1epaz49b4h49kbhc1rqpo
2012-03-02 10:36:58,019	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=149p1epaz49b4h49kbhc1rqpo
2012-03-02 10:36:58,386	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=d9h4go713asxa7d4l7aw7q7
2012-03-02 10:36:58,941	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=d9h4go713asxa7d4l7aw7q7
2012-03-02 10:36:59,416	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=4la0b386k41f1bwl67emljc0j
2012-03-02 10:37:00,057	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=4la0b386k41f1bwl67emljc0j
2012-03-02 10:37:00,437	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=a5fmj8hg56cmghf13cve4vvm
2012-03-02 10:37:01,053	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=a5fmj8hg56cmghf13cve4vvm
2012-03-02 10:37:01,410	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=eqs0eres0ik21v0no2fxke62z
2012-03-02 10:37:02,207	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=eqs0eres0ik21v0no2fxke62z
2012-03-02 10:37:02,438	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=lyg5qv0ttkm3l4iawwci0zjz
2012-03-02 10:37:03,463	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=dwifxmlw7weccbd6ib5kgvoc
2012-03-02 10:37:04,459	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=cbbas8f8r4pzvzj14yd4r9pm
2012-03-02 10:37:05,079	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=cbbas8f8r4pzvzj14yd4r9pm
2012-03-02 10:37:05,408	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1um6lhqxss2rfpsp6umoygkpd
2012-03-02 10:37:06,042	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1um6lhqxss2rfpsp6umoygkpd
2012-03-02 10:37:06,404	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1d8n18dqyo3dh193x0iblshbx7
2012-03-02 10:37:07,058	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1d8n18dqyo3dh193x0iblshbx7
2012-03-02 10:37:07,405	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ej9hn0agmy911pjcv30kpw4p9
2012-03-02 10:37:08,086	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ej9hn0agmy911pjcv30kpw4p9
2012-03-02 10:37:08,402	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1t38qtout66x18wk2szqyvq7o
2012-03-02 10:37:09,077	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1t38qtout66x18wk2szqyvq7o
2012-03-02 10:37:09,390	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=rv35sryqbu1gip1dxg0vqvif
2012-03-02 10:37:10,125	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=rv35sryqbu1gip1dxg0vqvif
2012-03-02 10:37:10,407	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=rwgom1x5gl3n1s1ow3ff4p2zy
2012-03-02 10:37:11,222	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=rwgom1x5gl3n1s1ow3ff4p2zy
2012-03-02 10:37:11,426	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=zgw61n6co36u1tqzl73okszq2
2012-03-02 10:37:12,177	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=zgw61n6co36u1tqzl73okszq2
2012-03-02 10:37:12,402	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=ietccbxtf0uj1c86oo15lns00
2012-03-02 10:37:13,197	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=ietccbxtf0uj1c86oo15lns00
2012-03-02 10:37:13,411	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=13i9payviw22z7chxf3miaf2o
2012-03-02 10:37:14,220	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=13i9payviw22z7chxf3miaf2o
2012-03-02 10:37:14,420	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=70eb2yxf9c891a7x490cmp2aw
2012-03-02 10:37:15,290	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=70eb2yxf9c891a7x490cmp2aw
2012-03-02 10:37:15,412	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1huyohmil5hy91h5zdmoh6pfuu
2012-03-02 10:37:16,425	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=8enhw3zq6wbsf6bu4cbqobgt
2012-03-02 10:37:17,459	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1i99mw73uu0f1hda79ym5xnaz
2012-03-02 10:37:18,411	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1myfd00l29yx4lqi8krfh5ih0
2012-03-02 10:37:19,405	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1jfpdcpxmxo1p8cdtz4j76x1
2012-03-02 10:37:20,407	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1mwwqz8jjguts16t2sxekb11rd
2012-03-02 10:37:21,396	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=133jvdlngm5emhyy7az16rgx2
2012-03-02 10:37:22,394	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1tkqrgk96y5ggbrmokwxbom8t
2012-03-02 10:37:23,405	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=5xkke5gbd04d16mvoe2nqw60f
2012-03-02 10:37:24,418	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1qe6qjl7c1cljqvyaiyvc77ae
2012-03-02 10:37:25,434	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=11taakmkl03e6xq6wqi5xq56e
2012-03-02 10:37:26,440	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=7q51hdfdc0ku8gw2uukq7zdj
2012-03-02 10:37:27,429	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1c5ilvzs58jyj4erogscqqufg
2012-03-02 10:37:28,442	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ki3ibimhtrm71gjsada8tplc6
2012-03-02 10:37:29,405	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=t40ouj38qfnn1h9a1bqont611
2012-03-02 10:37:30,418	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=f366h4o3540d1ogxmlax6absz
2012-03-02 10:37:31,407	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=13mhul1d83qnzw5lsdvin0qbp
2012-03-02 10:37:32,420	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ddl6rqrsqixy180hml90mp1c7
2012-03-02 10:37:33,401	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=11kv4sbmmyg4f1d6a6eyl8kqdl
2012-03-02 10:37:34,401	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=kwz4ouxwq3ab19l4c1sh9ligq
2012-03-02 10:37:35,414	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=d6ksje2gfz6w15slk4m1g8usb
2012-03-02 10:37:36,434	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=gxwb12hg4k24oxrq1vkbhb3d
2012-03-02 10:37:37,450	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1y0vomupm0u9u1xiqq82ujth4v
2012-03-02 10:37:38,433	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=qjr4h5deogbfx3bvw3g3q6ux
2012-03-02 10:37:39,413	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=l1yzyqck9mj31e4qddn9qth0x
2012-03-02 10:37:40,440	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=5bkobc48el3h1pkd1jzm3vdjx
2012-03-02 10:37:41,422	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=17uszcvz81t6bvb4lk7xjdcui
2012-03-02 10:37:42,457	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=d8tpc13fn8ry1vikqvkfrp0mx
2012-03-02 10:37:43,422	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=bms5vpgnb0241sxn206t5z419
2012-03-02 10:37:44,434	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1unnwv2ggivcgeyzn2znij738
2012-03-02 10:37:45,428	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=nb6tgidikl1y1dwn6h3emjghv
2012-03-02 10:37:46,425	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=3vzp4zgvoojvqsobbsgia7x
2012-03-02 10:37:47,431	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=15assub5wohe91oe4jashvsr7k
2012-03-02 10:37:48,437	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=g6wfgaw4755k3vun4g8d1s9l
2012-03-02 10:37:49,429	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1jx2rx53vhwokpts39mxlmyl2
2012-03-02 10:37:50,436	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=gtujzzig789q18ncd3131mv4g
2012-03-02 10:37:51,440	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=dsd6l67azl03xqtn94ywis1f
2012-03-02 10:37:52,426	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=dl6d6lqzmrbq1ckbvw21g9hwi
2012-03-02 10:37:53,440	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=cs8c3ef2cv1wa9afit9vv3bn
2012-03-02 10:37:54,422	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=100gaf0pvptcr17dvitujto6f0
2012-03-02 10:37:55,439	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=11jbni4m5vgme1ch3t11phjia0
2012-03-02 10:37:56,424	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=125qcn8q0wl4l8khw8t3qqx7
2012-03-02 10:37:57,443	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1lfcdcjcx8ncpge07dlwxs86l
2012-03-02 10:37:58,427	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ur6dxch63mzi6i3dvh85cacf
2012-03-02 10:37:59,424	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=wchzel5zlbvr12n91383p61x
2012-03-02 10:38:00,420	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1tb13d0f05yotcywmxhghbtmh
2012-03-02 10:38:01,440	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1vvqrby344w051tkcqekwl1chq
2012-03-02 10:38:02,466	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=2o0ubcdpzgezugoat2woxuma
2012-03-02 10:38:03,428	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=10fowvoc961i61a8a0ev4l099p
2012-03-02 10:38:04,458	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1tthc0fvxvhup1eg9myo06t14f
2012-03-02 10:38:05,436	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1l2fg7jky76nh1u98tgbl4qif1
2012-03-02 10:38:06,441	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=y54nx5tmssou1x2137scg9n96
2012-03-02 10:38:07,453	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=kgddxgctz42b1i6bxa961hlg8
2012-03-02 10:38:08,435	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1xar3o44nfjvg97ex31vc4z5g
2012-03-02 10:38:09,476	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1frf28qagzklr1k22pe0ynjvvg
2012-03-02 10:38:10,449	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=z8lsn5y1jtzu10y24fh4boxx8
2012-03-02 10:38:11,447	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=ufn10qww10q91dzlo16cr5g53
2012-03-02 10:38:12,454	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1qumvxqz5h4tg134ju74pzrwdo
2012-03-02 10:38:13,446	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1mnhiue8jf0p21ve9gfz11toev
2012-03-02 10:38:14,451	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=acmicrx25x79tv1fu88p1uua
2012-03-02 10:38:15,455	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ektym7oka9zl15274138aha9z
2012-03-02 10:38:16,442	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1ng6jq658rwu31wxb2usrsoyny
2012-03-02 10:38:17,449	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=s8ss7gmzkrqud5c9rhjk994m
2012-03-02 10:38:18,459	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=8nev23h2yiifeszi86x5bszw
2012-03-02 10:38:19,450	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=15og3tk7yxwuv8p0lya6bokaz
2012-03-02 10:38:20,456	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=dit2p7qb2g2f1oyjj1b9valer
2012-03-02 10:38:21,454	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1487l3aporyqm1ur520dzvymva
2012-03-02 10:38:22,458	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=8gy8d9upe0lxlj3de82lz498
2012-03-02 10:38:24,686	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=8gy8d9upe0lxlj3de82lz498
2012-03-02 10:39:07,001	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.4.100;session=1iqei1gxc9l3zm0om39a13dh
