2012-01-13 11:14:02,061	WARN 	com.mindalliance.channels.core.dao.PlanManagerImpl	No default plan for user david	
2012-01-13 11:16:34,099	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=kiaxxa4xlp6819uon37lzafhn
2012-01-13 11:16:35,119	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=133oybck7ar4c149ibbt7f2vx6
2012-01-13 11:16:36,119	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=14aww7y8gzc1y5tn9kkb0egxm
2012-01-13 11:16:37,133	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=cqsjqela8qb5vyh0b5p8jwpg
2012-01-13 11:16:38,191	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1l9gzpqaxfhtc1ffl3coevyvxt
2012-01-13 11:16:39,142	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=19ocleaana2ax135y5c460etzz
2012-01-13 11:16:40,148	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=xqhl4wqvjgng1tp5jo71xsrt0
2012-01-13 11:16:41,132	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=krxd68qwlwlsjdj9bl4n32aa
2012-01-13 11:16:42,134	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1qjbhse36plad1680k4recekxy
2012-01-13 11:16:43,141	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=x3fneot50cl0vdhz8us1vrbn
2012-01-13 11:16:44,125	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=lm9y1gircdm017879pl4p4gdt
2012-01-13 11:16:45,136	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=eptg3x9j0zt81u4r5e554kuvq
2012-01-13 11:16:46,132	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=7n8xdlf8ehdz12ijgtt4kxaqp
2012-01-13 11:16:47,143	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=tb9potwos3b9fjz7wc90ui4t
2012-01-13 11:16:48,132	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=b91lr584fojv1ba2s10fct7qj
2012-01-13 11:16:49,159	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=f868464ac51d1v6df3f8ehe7u
2012-01-13 11:16:50,158	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1sxkvdvknxw5aeeojsz2uosw7
2012-01-13 11:16:51,142	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1uatd4h3zkw2mh1d3falrj40k
2012-01-13 11:16:52,142	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=2h2s7mlylg9g19jrsp83rivxf
2012-01-13 11:16:53,144	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=12xnydjpdgx663s7mcdzu9afz
2012-01-13 11:16:54,148	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=g0bmqpzwcn6ub4lj062u5k5a
2012-01-13 11:16:55,171	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=7c757oqvueac1fvv5s3a46fxp
2012-01-13 11:16:56,157	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=icdm6kmggexww54qw3rfou2u
2012-01-13 11:16:57,138	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1j2ih0fb855fz8an8v7dazctf
2012-01-13 11:16:58,152	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fiooi5pn8cib1tfvfgl32d1dq
2012-01-13 11:16:59,166	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1vhx3v6xv8vfxin18q0eytisy
2012-01-13 11:17:00,163	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1j7uyr25jo35d11ml7oje4sqdz
2012-01-13 11:17:01,172	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=8g873q0crz2jz5v60ow4kcrw
2012-01-13 11:17:02,446	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=b5oheokikukc15hg8dnd4yisg
2012-01-13 11:17:03,157	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=13euost0naloq1j8w7yjy8ewwk
2012-01-13 11:17:04,173	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=ty1bm403gunjc9kplb8mbjrv
2012-01-13 11:17:05,165	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=19ploilyh01wo11n7xyctkyfkx
2012-01-13 11:17:06,142	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=15af0tdzo9453lhmew9xxle6u
2012-01-13 11:17:07,196	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=19bmv8mkrtbf2izggogcdn27
2012-01-13 11:17:08,145	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=ja924pqx2xqw13cmmb0b4f511
2012-01-13 11:17:09,161	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1x1kujuv7en00dm2i3xns277z
2012-01-13 11:17:10,148	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1fv49oy54mfvf1i64iuic2hena
2012-01-13 11:17:11,149	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1pmrml4421un51508y11n68s9f
2012-01-13 11:17:12,162	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1b27hrg9b1owh1cz2u7zbfabzb
2012-01-13 11:17:13,152	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1xr63v9dzs8nshg5nljbeprl7
2012-01-13 11:17:14,166	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=h7vzzekjjkib226cje7m6qi4
2012-01-13 11:17:15,163	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=626zlhalb5ok16ppunvn672ma
2012-01-13 11:17:16,149	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=x0yqi51xt1kimtxxe4q577kb
2012-01-13 11:17:17,146	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1l3i3srlgpzqykjl4qnu2yx0w
2012-01-13 11:17:18,172	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1aq361yze8ewvnojqc8lwt1rm
2012-01-13 11:17:19,168	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=ezn8i2yfb2oe1o5jtyksai14t
2012-01-13 11:17:20,181	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=11yj6642q4cn4vxrn744vifgb
2012-01-13 11:17:21,157	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=18w5pcjwded611gk11vl26x8pf
2012-01-13 11:17:22,168	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fecyfjpyf5rx17doja91lebu2
2012-01-13 11:17:23,179	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=18nu5n06d1s48qoxo0y921l13
2012-01-13 11:17:24,196	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=2uitrmhtuigr1jy2havem6dkk
2012-01-13 11:17:25,159	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=bg2z15zch86ocymjoz0fnre7
2012-01-13 11:17:26,164	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=c89c8a81a03c1xs6jzm5d34wa
2012-01-13 11:17:27,155	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1gy2x3yubr27u7am5l3qd7hza
2012-01-13 11:17:28,184	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=n7kkdtgawveg1n35f8ueqqo2m
2012-01-13 11:17:29,180	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1vyybbztbq7qq1liqg83o04onl
2012-01-13 11:17:30,176	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=u8gu42sjirb317hxxjawc78ux
2012-01-13 11:17:31,193	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=7gqchh1nlw321dx11vejhsh9z
2012-01-13 11:17:32,180	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=m24124kz1tfdv30nl4er9dk5
2012-01-13 11:17:33,172	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=nugistovg00yr4th3zokqs1q
2012-01-13 11:17:34,169	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=417w2rdudohuxvofiimfshvv
2012-01-13 11:17:35,192	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1e00xdq10olflchec91lw5ypf
2012-01-13 11:17:36,182	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=10268noj0net31cap9uph6347x
2012-01-13 11:17:37,157	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=ti96pw1god9ea9hnhwli6bn7
2012-01-13 11:17:38,189	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=fkchblhxfhe4jcrlh59mmcmi
2012-01-13 11:17:39,182	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=qf5lchxzosk411p4kh83lispf
2012-01-13 11:17:40,224	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1fxcli3j8s4v1pqz2woobj4iq
2012-01-13 11:17:41,193	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1qgerpu4cqxirm4edr201xpm
2012-01-13 11:17:42,174	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=i3jmup8g6tl1ffolcc1vc1me
2012-01-13 11:17:43,175	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1ifhw4c9u6tnuedd00i6l9ncm
2012-01-13 11:17:44,192	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=154f9xufplo9f1hr3ijc6zoh26
2012-01-13 11:17:45,176	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1ilvsbqcwwfl3upmh71rfijje
2012-01-13 11:17:46,161	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=zl92g6m6206p4jaknqmltiao
2012-01-13 11:17:47,162	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=k3c6i1c1j4gqyd4lvs272jxt
2012-01-13 11:17:48,182	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1a76v7lkkm9x21td2w0xhav5o9
2012-01-13 11:17:49,176	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=mlvm5la9e4vnpj4zi4bvklhb
2012-01-13 11:17:50,180	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=cvh6jqhqpi3g1ksbvuzpkuhox
2012-01-13 11:17:51,177	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=5vdmwmaq1ipa1g7r8ej386g34
2012-01-13 11:17:52,181	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=15jgv36zyc6zd172smz9a11hyh
2012-01-13 11:17:53,190	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1l70imisblxgi1bxk50apnuaco
2012-01-13 11:17:54,184	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=agkv5z59we3u1d7cmiqqp10os
2012-01-13 11:17:55,176	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=ha2ngkwsa5ed2ryhlhb75g08
2012-01-13 11:17:56,212	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=1c40x3ozj7e581h0ncdcau56kp
2012-01-13 11:17:57,196	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=bfhvd6qfaede1cszczelh02da
2012-01-13 11:17:58,222	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=33vqv50hh5p81tlxkjj4d5a83
2012-01-13 11:17:59,197	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=15nrx0kp8zan5d8jdkmsm5erj
2012-01-13 11:18:00,188	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=kt8xcwdih381wffuucsn1sww
2012-01-13 11:18:01,193	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=bn8vrsbildbo1favxqh9xtq1y
2012-01-13 11:18:02,189	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=146zhwolzb6cqc0186q2d4qy0
2012-01-13 11:18:03,188	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=dr2mgs57gkv0i6x9dmeabcci
2012-01-13 11:18:04,180	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=yjn4lm3z3bxp1cm4l1fu1dwpa
2012-01-13 11:18:05,190	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=znc3jp81yzek178akc5l2z3l5
2012-01-13 11:18:06,172	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=11kx6v4onftox1pxqr59xypj2z
2012-01-13 11:18:07,197	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=oirpsoz8pmawg9kk0rz7vrcu
2012-01-13 11:18:08,197	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/admin;client=192.168.0.23;session=tzn70fzno3yqna7nvc310vwt
2012-01-13 11:34:46,327	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1ujok704xi15g2mw3b7e4zm70
2012-01-13 11:34:46,790	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=wwkma3h4h0h8tgg5m2uh8riw
2012-01-13 11:34:46,888	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=6cfnxlgxhq601mm9l4qnl9al2
2012-01-13 11:34:47,038	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=jb19eihl1gs31k7vnxcjkdo7k
2012-01-13 11:34:48,617	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=wwkma3h4h0h8tgg5m2uh8riw
2012-01-13 11:34:48,617	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=jb19eihl1gs31k7vnxcjkdo7k
2012-01-13 11:34:48,618	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=wwkma3h4h0h8tgg5m2uh8riw
2012-01-13 11:34:48,618	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=jb19eihl1gs31k7vnxcjkdo7k
2012-01-13 11:34:48,617	WARN 	com.mindalliance.channels.graph.AbstractDiagram	Failed to generate image map	uri=/channels/plan;client=192.168.0.23;session=6cfnxlgxhq601mm9l4qnl9al2
2012-01-13 11:34:48,636	WARN 	com.mindalliance.channels.pages.components.diagrams.AbstractDiagramPanel	Empty image map	uri=/channels/plan;client=192.168.0.23;session=6cfnxlgxhq601mm9l4qnl9al2
2012-01-13 11:34:50,183	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=dat9a4lfqezqvmcvmucw95fg
2012-01-13 11:34:50,248	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=19y0se6q50tq61b7fre0uf48gn
2012-01-13 11:34:50,258	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=17tw06huh1voc1fcnox3yrw2a1
2012-01-13 11:34:50,281	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=179845ch2jubjorxax93jqs2e
2012-01-13 11:34:50,406	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1cj2hehs1w1uvcdn5fd47urrq
2012-01-13 11:34:50,470	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1lvpf2fi6x3pu19mdkax7jx0n7
2012-01-13 11:34:50,478	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1dbkqrj4u76lb1xzbye7so4t1p
2012-01-13 11:34:50,685	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=u0tvu0w18rwj1l76zp0grijas
2012-01-13 11:34:50,770	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=5qgdqv87xz12g43709pz9m63
2012-01-13 11:34:51,004	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1puh0xz7gpced1wpclnapiju4o
2012-01-13 11:34:51,015	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=t5yljzikepr0evabkt4lbk17
2012-01-13 11:34:51,038	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=13tbsgz6b9vxr17229wgonk0ff
2012-01-13 11:34:51,044	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1lcnxxi2mgf4uok9z5sz1cnqh
2012-01-13 11:34:51,117	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1mqnp38x41fpj1j0zkve8nmtz7
2012-01-13 11:34:51,150	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=gxvqir207mcv766itzzj2c2o
2012-01-13 11:34:51,174	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=6sjqjskz3xmv19jwwlcffdsp0
2012-01-13 11:34:51,188	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=udjuf3i0ie4e142fgwn4hsvus
2012-01-13 11:34:51,335	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1dqz17kdfwk7e13jak8fbyq3pf
2012-01-13 11:34:51,346	WARN 	com.mindalliance.channels.pages.AbstractChannelsWebPage	PANIC: selecting first plan	uri=/channels/plan;client=192.168.0.23;session=1o8jhchvgr7gj17dde2uhzxilf
